symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
880,True,True,True,True,True,True,True,True,296,62701113600.0,0.1777777777777778,7,122100.0,188161.0,2026-03-13,88.89,KOSPI,True,False,7,88.89,000880.KS,6,complete,,False,61.53846153846154,100.0,161.53846153846155,13
1465,True,True,True,True,True,True,True,True,296,125051200.0,0.2370689655172413,7,26550.0,579.0,2026-03-13,74.6,KOSPI,True,False,7,74.6,001465.KS,5,complete,,False,30.76923076923077,92.3076923076923,123.07692307692308,12
1510,True,True,True,True,True,True,True,True,296,93193247342.5,0.2453389830508474,7,1781.0,20756175.0,2026-03-13,98.41,KOSPI,True,False,7,98.41,001510.KS,4,complete,,False,100.0,73.07692307692307,173.07692307692307,11
1440,True,True,True,True,True,True,True,True,296,171720618250.0,0.1981258366800535,7,29950.0,2511892.0,2026-03-13,92.06,KOSPI,True,False,7,92.06,001440.KS,4,complete,,False,76.92307692307693,73.07692307692307,150.0,11
1270,True,True,True,True,True,True,True,True,296,6087804450.0,0.2208413001912046,7,81500.0,48148.0,2026-03-13,90.48,KOSPI,True,False,7,90.48,001270.KS,4,complete,,False,69.23076923076923,73.07692307692307,142.3076923076923,11
1275,True,True,True,True,True,True,True,True,296,225374650.0,0.0881642512077294,7,37750.0,5308.0,2026-03-13,76.19,KOSPI,True,True,7,76.19,001275.KS,4,complete,,False,38.46153846153847,73.07692307692307,111.53846153846152,11
720,True,True,True,True,True,True,True,True,296,231976745250.0,0.0706613906161672,7,164400.0,2710670.0,2026-03-13,96.83,KOSPI,True,True,7,96.83,000720.KS,3,complete,,False,92.3076923076923,42.30769230769231,134.6153846153846,10
1080,True,True,True,True,True,True,True,True,296,150042780.0,0.186385737439222,7,5020.0,59778.0,2026-03-13,85.71,KOSPI,True,False,7,85.71,001080.KS,3,complete,,False,53.84615384615385,42.30769230769231,96.15384615384616,10
1120,True,True,True,True,True,True,True,True,296,9514164375.0,0.1296482412060301,7,43300.0,209607.0,2026-03-13,77.78,KOSPI,True,True,7,77.78,001120.KS,3,complete,,False,46.15384615384615,42.30769230769231,88.46153846153845,10
1060,True,True,True,True,True,True,True,True,296,3727291500.0,0.1910828025477706,7,31750.0,45527.0,2026-03-13,71.43,KOSPI,True,False,7,71.43,001060.KS,3,complete,,False,23.07692307692308,42.30769230769231,65.38461538461539,10
815,True,True,True,True,True,True,True,False,296,7900848750.0,0.1777777777777778,7,388500.0,17142.0,2026-03-13,57.14,KOSPI,False,False,7,57.14,000815.KS,2,complete,,False,15.384615384615383,19.230769230769237,34.61538461538462,9
1340,True,True,True,True,True,True,True,False,296,3208597680.0,0.1066838046272493,7,6950.0,581585.0,2026-03-13,49.21,KOSPI,False,True,7,49.21,001340.KS,2,complete,,False,7.6923076923076925,19.230769230769237,26.923076923076927,9
1430,True,True,True,True,True,True,True,True,296,18892472250.0,0.2378378378378378,7,70500.0,263643.0,2026-03-13,95.24,KOSPI,True,False,7,95.24,001430.KS,1,complete,,False,84.61538461538461,7.6923076923076925,92.3076923076923,8
