date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-08-13 04:00:00+00:00,9.880000114440918,9.880000114440918,7.5,8.609999656677246,8.609999656677246,91700,ACTU
2024-08-14 04:00:00+00:00,8.619999885559082,9.449999809265137,8.609999656677246,9.149999618530272,9.149999618530272,59100,ACTU
2024-08-15 04:00:00+00:00,9.899999618530272,10.161999702453612,7.329999923706055,8.897000312805176,8.897000312805176,49600,ACTU
2024-08-16 04:00:00+00:00,8.899999618530273,9.210000038146973,8.0600004196167,8.699999809265137,8.699999809265137,41600,ACTU
2024-08-19 04:00:00+00:00,8.9399995803833,9.0,8.0600004196167,8.789999961853027,8.789999961853027,36300,ACTU
2024-08-20 04:00:00+00:00,8.989999771118164,8.989999771118164,7.96999979019165,8.460000038146973,8.460000038146973,31200,ACTU
2024-08-21 04:00:00+00:00,8.949999809265137,8.949999809265137,8.333999633789062,8.600000381469727,8.600000381469727,21700,ACTU
2024-08-22 04:00:00+00:00,8.369999885559082,8.779999732971191,8.050000190734863,8.050000190734863,8.050000190734863,32500,ACTU
2024-08-23 04:00:00+00:00,8.0,8.149999618530273,8.0,8.079999923706055,8.079999923706055,10100,ACTU
2024-08-26 04:00:00+00:00,7.982999801635742,8.5,7.960000038146973,7.960000038146973,7.960000038146973,185400,ACTU
2024-08-27 04:00:00+00:00,8.029999732971191,8.199999809265137,8.029999732971191,8.050000190734863,8.050000190734863,14100,ACTU
2024-08-28 04:00:00+00:00,8.0600004196167,8.199999809265137,7.980000019073486,7.980000019073486,7.980000019073486,27600,ACTU
2024-08-29 04:00:00+00:00,7.96999979019165,8.170000076293945,7.909999847412109,8.130000114440918,8.130000114440918,11700,ACTU
2024-08-30 04:00:00+00:00,8.100000381469727,8.25,8.0,8.050000190734863,8.050000190734863,38400,ACTU
2024-09-03 04:00:00+00:00,8.199999809265137,8.199999809265137,8.0,8.010000228881836,8.010000228881836,5700,ACTU
2024-09-04 04:00:00+00:00,8.100000381469727,8.270000457763672,8.050000190734863,8.194999694824219,8.194999694824219,23200,ACTU
2024-09-05 04:00:00+00:00,8.180000305175781,8.239999771118164,8.039999961853027,8.149999618530273,8.149999618530273,9500,ACTU
2024-09-06 04:00:00+00:00,8.072999954223633,8.199999809265137,7.955999851226807,8.149999618530273,8.149999618530273,27200,ACTU
2024-09-09 04:00:00+00:00,7.989999771118164,8.470000267028809,7.949999809265137,8.270000457763672,8.270000457763672,56200,ACTU
2024-09-10 04:00:00+00:00,8.119999885559082,8.25,8.104999542236328,8.199999809265137,8.199999809265137,32500,ACTU
2024-09-11 04:00:00+00:00,8.270000457763672,8.399999618530273,8.079999923706055,8.079999923706055,8.079999923706055,74300,ACTU
2024-09-12 04:00:00+00:00,8.100000381469727,8.220000267028809,7.5,7.949999809265137,7.949999809265137,99700,ACTU
2024-09-13 04:00:00+00:00,7.949999809265137,8.170000076293945,7.949999809265137,8.010000228881836,8.010000228881836,20600,ACTU
2024-09-16 04:00:00+00:00,7.875,8.369999885559082,7.875,8.369999885559082,8.369999885559082,25400,ACTU
2024-09-17 04:00:00+00:00,8.359999656677246,8.460000038146973,8.0,8.020000457763672,8.020000457763672,39900,ACTU
